Provider ID,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for meaningful use of EHRs,Hospital overall rating,Mortality national comparison
11300,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,Not Available
50776,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Not Available
110028,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4,Same as the national average
50278,Acute Care Hospitals,Voluntary non-profit - Church,FALSE,TRUE,3,Same as the national average
10011,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
31315,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Not Available
50334,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,Same as the national average
110164,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
100099,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Same as the national average
50150,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,Same as the national average
50295,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,1,Same as the national average
50125,Acute Care Hospitals,Government - Federal,TRUE,TRUE,1,Same as the national average
41307,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
50167,Acute Care Hospitals,Government - Local,TRUE,TRUE,2,Same as the national average
100191,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Below the national average
43301,Childrens,Voluntary non-profit - Private,TRUE,,Not Available,Not Available
41302,Critical Access Hospitals,Proprietary,TRUE,TRUE,2,Not Available
50231,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
50503,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Above the national average
100292,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,5,Same as the national average
70039,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,3,Same as the national average
51310,Critical Access Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4,Same as the national average
50736,Acute Care Hospitals,Proprietary,FALSE,TRUE,2,Same as the national average
10126,Acute Care Hospitals,Government - Federal,TRUE,TRUE,2,Same as the national average
41322,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2,Same as the national average
50616,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2,Below the national average
50022,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Same as the national average
101303,Critical Access Hospitals,Proprietary,TRUE,TRUE,Not Available,Not Available
100017,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2,Below the national average
110082,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Above the national average
110045,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Same as the national average
110146,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,Same as the national average
61317,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4,Same as the national average
50775,Acute Care Hospitals,Proprietary,TRUE,TRUE,5,Same as the national average
50006,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
41331,Critical Access Hospitals,Proprietary,TRUE,TRUE,3,Not Available
21311,Critical Access Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4,Same as the national average
50040,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2,Not Available
50121,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2,Same as the national average
100102,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
10148,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Same as the national average
50537,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
100068,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4,Same as the national average
70012,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Same as the national average
110121,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
100124,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Same as the national average
20001,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4,Same as the national average
30111,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
40062,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
100173,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,1,Below the national average
50557,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Below the national average
60116,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
40004,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Below the national average
40015,Acute Care Hospitals,Government - Local,TRUE,TRUE,2,Below the national average
100236,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Same as the national average
50100,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
110046,Acute Care Hospitals,Proprietary,TRUE,TRUE,1,Same as the national average
40067,Acute Care Hospitals,Government - Local,TRUE,TRUE,2,Below the national average
50139,Acute Care Hospitals,Voluntary non-profit - Other,FALSE,TRUE,3,Not Available
30123,Acute Care Hospitals,Proprietary,TRUE,TRUE,5,Same as the national average
51319,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,Same as the national average
10073,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4,Same as the national average
10051,Acute Care Hospitals,Government - Local,TRUE,TRUE,3,Not Available
101307,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,Same as the national average
53311,Childrens,Voluntary non-profit - Private,FALSE,,Not Available,Not Available
100269,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Same as the national average
50225,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3,Same as the national average
60024,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,Above the national average
10158,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Same as the national average
70036,Acute Care Hospitals,Government - Local,TRUE,TRUE,3,Same as the national average
50441,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Above the national average
80001,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Above the national average
51307,Critical Access Hospitals,Voluntary non-profit - Church,FALSE,TRUE,Not Available,Not Available
61327,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
50471,Acute Care Hospitals,Proprietary,FALSE,TRUE,3,Above the national average
50360,Acute Care Hospitals,Government - Local,TRUE,TRUE,3,Same as the national average
61326,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
51301,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,Not Available
50496,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,5,Above the national average
50589,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Same as the national average
100135,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Below the national average
10168,Acute Care Hospitals,Government - State,TRUE,TRUE,5,Not Available
10029,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4,Below the national average
61314,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available,Not Available
30137,Acute Care Hospitals,Proprietary,TRUE,,3,Same as the national average
50174,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
10069,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,Same as the national average
100007,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Above the national average
110107,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,Below the national average
10101,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
60114,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
50239,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Above the national average
40132,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,Not Available,Not Available
100067,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3,Above the national average
60117,Acute Care Hospitals,Physician,TRUE,TRUE,Not Available,Not Available
50777,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Not Available
100223,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Below the national average
31317,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
10129,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
10089,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
100291,Acute Care Hospitals,Proprietary,TRUE,TRUE,1,Same as the national average
50714,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,5,Not Available
40072,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
70025,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
10049,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Same as the national average
50296,Acute Care Hospitals,Government - Hospital District or Authority,FALSE,TRUE,2,Same as the national average
50101,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
50076,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,Not Available
50327,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
50073,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,Same as the national average
30121,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Same as the national average
50704,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,2,Above the national average
30061,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4,Same as the national average
10039,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2,Below the national average
30037,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Same as the national average
50230,Acute Care Hospitals,Proprietary,TRUE,TRUE,4,Above the national average
10062,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
30078,Acute Care Hospitals,Government - Federal,FALSE,TRUE,Not Available,Not Available
10125,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,5,Above the national average
50678,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Same as the national average
61303,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,Same as the national average
100030,Acute Care Hospitals,Government - State,TRUE,TRUE,2,Same as the national average
41313,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
41324,Critical Access Hospitals,Voluntary non-profit - Church,TRUE,TRUE,Not Available,Same as the national average
50115,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4,Same as the national average
50765,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2,Not Available
60034,Acute Care Hospitals,Proprietary,TRUE,TRUE,4,Same as the national average
61320,Critical Access Hospitals,Government - Local,TRUE,TRUE,4,Not Available
90003,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2,Same as the national average
61321,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
51330,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,Not Available
10085,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,Same as the national average
31308,Critical Access Hospitals,Government - Federal,TRUE,TRUE,Not Available,Not Available
51334,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
100029,Acute Care Hospitals,Proprietary,TRUE,TRUE,1,Same as the national average
100175,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
110130,Acute Care Hospitals,Government - Hospital District or Authority,FALSE,TRUE,Not Available,Not Available
50107,Acute Care Hospitals,Voluntary non-profit - Church,FALSE,TRUE,4,Below the national average
60124,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available,Not Available
50222,Acute Care Hospitals,Proprietary,TRUE,TRUE,4,Above the national average
50298,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Same as the national average
10044,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,5,Same as the national average
50232,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,4,Below the national average
50709,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Above the national average
50414,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
110051,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4,Same as the national average
30065,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
110168,Acute Care Hospitals,Proprietary,TRUE,TRUE,4,Same as the national average
40020,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Below the national average
61328,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,Not Available
100320,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Same as the national average
50767,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Not Available
100187,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Same as the national average
40014,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Below the national average
50376,Acute Care Hospitals,Government - Local,TRUE,TRUE,2,Same as the national average
40027,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Below the national average
50547,Acute Care Hospitals,Government - State,FALSE,,Not Available,Not Available
60008,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
70038,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,,Not Available,Not Available
50769,Acute Care Hospitals,Proprietary,FALSE,TRUE,Not Available,Not Available
30094,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Same as the national average
100161,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Above the national average
100081,Acute Care Hospitals,Proprietary,TRUE,TRUE,4,Same as the national average
10059,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4,Same as the national average
10052,Acute Care Hospitals,Proprietary,TRUE,TRUE,4,Not Available
50757,Acute Care Hospitals,Proprietary,TRUE,TRUE,5,Same as the national average
100107,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
100252,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Same as the national average
100057,Acute Care Hospitals,Voluntary non-profit - Church,FALSE,TRUE,3,Same as the national average
50056,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,1,Below the national average
60030,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
100073,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,4,Same as the national average
41318,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
110008,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2,Below the national average
100048,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
60113,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3,Same as the national average
100275,Acute Care Hospitals,Proprietary,TRUE,TRUE,1,Below the national average
50468,Acute Care Hospitals,Proprietary,FALSE,TRUE,1,Same as the national average
51324,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,Same as the national average
51306,Critical Access Hospitals,Government - Federal,TRUE,TRUE,3,Not Available
60119,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,5,Same as the national average
50136,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4,Same as the national average
11305,Critical Access Hospitals,Voluntary non-profit - Private,FALSE,TRUE,4,Same as the national average
31312,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Not Available
50169,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Above the national average
100150,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Same as the national average
50740,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Same as the national average
51312,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,Not Available
61313,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2,Not Available
50373,Acute Care Hospitals,Government - Local,TRUE,TRUE,1,Same as the national average
10079,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4,Same as the national average
40134,Acute Care Hospitals,Proprietary,TRUE,TRUE,5,Same as the national average
70017,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
100156,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
110044,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,Same as the national average
20017,Acute Care Hospitals,Proprietary,TRUE,TRUE,5,Same as the national average
31311,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
100179,Acute Care Hospitals,Proprietary,TRUE,TRUE,1,Same as the national average
60003,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
10097,Acute Care Hospitals,Government - State,TRUE,TRUE,4,Same as the national average
41321,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
40016,Acute Care Hospitals,Government - State,TRUE,TRUE,1,Same as the national average
100052,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Below the national average
10114,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,Same as the national average
50755,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Above the national average
100281,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,Above the national average
50047,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Above the national average
50551,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Same as the national average
50226,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
50425,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,TRUE,2,Same as the national average
50180,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4,Above the national average
110143,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,3,Same as the national average
100071,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,1,Same as the national average
50002,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2,Same as the national average
10118,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Same as the national average
60004,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
100248,Acute Care Hospitals,Proprietary,TRUE,TRUE,1,Same as the national average
50026,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2,Below the national average
40084,Acute Care Hospitals,Proprietary,TRUE,TRUE,1,Same as the national average
50132,Acute Care Hospitals,Proprietary,TRUE,TRUE,4,Above the national average
70010,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,Above the national average
53302,Childrens,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
100220,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,Same as the national average
61311,Critical Access Hospitals,Government - Hospital District or Authority,TRUE,TRUE,Not Available,Not Available
70018,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Above the national average
110034,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,1,Same as the national average
10047,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Same as the national average
50735,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Same as the national average
100231,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Same as the national average
41304,Critical Access Hospitals,Proprietary,TRUE,TRUE,3,Not Available
50586,Acute Care Hospitals,Proprietary,TRUE,TRUE,5,Same as the national average
10090,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2,Below the national average
10083,Acute Care Hospitals,Proprietary,TRUE,TRUE,3,Same as the national average
50205,Acute Care Hospitals,Proprietary,TRUE,TRUE,5,Same as the national average
50195,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2,Above the national average
40114,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,Below the national average
50272,Acute Care Hospitals,Government - Federal,TRUE,TRUE,4,Same as the national average
100035,Acute Care Hospitals,Proprietary,TRUE,TRUE,1,Below the national average
41303,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Not Available
110002,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2,Same as the national average
51327,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,2,Not Available
41317,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available,Not Available
70031,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,1,Same as the national average
50350,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Above the national average
50305,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
50506,Acute Care Hospitals,Proprietary,TRUE,TRUE,4,Same as the national average
100028,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,1,Below the national average
61310,Critical Access Hospitals,Government - Local,FALSE,TRUE,Not Available,Not Available
30089,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2,Same as the national average
90001,Acute Care Hospitals,Proprietary,TRUE,TRUE,1,Same as the national average
100130,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2,Same as the national average
50710,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Not Available
100038,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,Above the national average
50353,Acute Care Hospitals,Voluntary non-profit - Church,FALSE,TRUE,4,Above the national average
51308,Critical Access Hospitals,Government - Local,TRUE,TRUE,Not Available,Not Available
60112,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4,Same as the national average
100243,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Above the national average
50779,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,,2,Same as the national average
10056,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
100224,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Same as the national average
30108,Acute Care Hospitals,Proprietary,FALSE,TRUE,Not Available,Not Available
100034,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Above the national average
50262,Acute Care Hospitals,Government - State,TRUE,TRUE,3,Above the national average
100307,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
40152,Acute Care Hospitals,Proprietary,TRUE,TRUE,Not Available,Not Available
50744,Acute Care Hospitals,Proprietary,FALSE,TRUE,2,Not Available
50773,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,,2,Same as the national average
110177,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Same as the national average
50464,Acute Care Hospitals,Proprietary,TRUE,TRUE,1,Below the national average
70007,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
50089,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
80007,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
10108,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,Above the national average
110142,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4,Same as the national average
60103,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3,Same as the national average
10023,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2,Below the national average
50189,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,,3,Same as the national average
60064,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3,Same as the national average
110105,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2,Same as the national average
41329,Critical Access Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2,Same as the national average
50084,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,2,Below the national average
10019,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,Same as the national average
53300,Childrens,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
41320,Critical Access Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available,Not Available
50352,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
50261,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,1,Below the national average
83300,Childrens,Voluntary non-profit - Private,TRUE,TRUE,Not Available,Not Available
50090,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,4,Same as the national average
100047,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Same as the national average
50159,Acute Care Hospitals,Government - Local,TRUE,TRUE,2,Same as the national average
10024,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Below the national average
40029,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Below the national average
50581,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Same as the national average
100001,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Above the national average
100026,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2,Same as the national average
50017,Acute Care Hospitals,Voluntary non-profit - Church,FALSE,TRUE,3,Same as the national average
50690,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4,Not Available
101312,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
53305,Childrens,Voluntary non-profit - Private,FALSE,TRUE,Not Available,Not Available
30007,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,5,Same as the national average
50609,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4,Not Available
30113,Acute Care Hospitals,Government - Federal,FALSE,TRUE,Not Available,Not Available
50668,Acute Care Hospitals,Government - Local,FALSE,,Not Available,Not Available
41326,Critical Access Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
60129,Acute Care Hospitals,Proprietary,TRUE,,Not Available,Not Available
100053,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Same as the national average
30062,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
50457,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
50289,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3,Above the national average
30101,Acute Care Hospitals,Proprietary,TRUE,TRUE,1,Same as the national average
40026,Acute Care Hospitals,Voluntary non-profit - Church,TRUE,TRUE,3,Same as the national average
50378,Acute Care Hospitals,Proprietary,TRUE,TRUE,2,Same as the national average
50485,Acute Care Hospitals,Voluntary non-profit - Other,FALSE,TRUE,2,Same as the national average
10138,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,Not Available,Not Available
60001,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,4,Same as the national average
100302,Acute Care Hospitals,Proprietary,TRUE,TRUE,1,Same as the national average
100002,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,3,Same as the national average
70024,Acute Care Hospitals,Voluntary non-profit - Other,TRUE,TRUE,4,Above the national average
100244,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,3,Same as the national average
100277,Acute Care Hospitals,Voluntary non-profit - Private,FALSE,,Not Available,Not Available
80009,Acute Care Hospitals,Voluntary non-profit - Private,TRUE,TRUE,2,Same as the national average
10172,Acute Care Hospitals,Proprietary,FALSE,,Not Available,Not Available
10092,Acute Care Hospitals,Government - Hospital District or Authority,TRUE,TRUE,2,Below the national average
